Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-08-11,101600,102750,101300,101600,536398,-0.0029440628066732533,101700.0,102390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25,759.3229141094344,1264.1722916316594,-504.84937752222504,102390.0,108367.46645855565,96412.53354144435,11954.932917111291,0.4339184915986184,1198007.35,0.44774182729346357,-0.0029440628066732533,0.47397531529464937
2025-08-12,101100,103700,101000,101800,655429,0.0019685039370078705,101780.0,102480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35874439461884,659.5990755298844,1143.2576484113044,-483.65857288142,102480.0,108359.34833481612,96600.65166518388,11758.696669632249,0.4421704616502102,1168682.75,0.5608271363635683,0.0019685039370078705,0.4615509184101411
2025-08-13,102800,103300,102100,103200,534661,0.013752455795677854,102060.0,102665.0,98206.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,46.01769911504425,685.6319760669285,1051.7325139424293,-366.1005378755008,102665.0,108380.08622212436,96949.91377787564,11430.172444248718,0.5468059430082474,1161971.0,0.46013282603438466,0.013752455795677854,0.4629590316100996
2025-08-14,103600,104700,103100,103700,574716,0.004844961240310086,102440.0,102840.0,98415.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0990990990991,738.1006932846649,989.0061498108764,-250.90545652621154,102840.0,108450.66653325327,97229.33346674673,11221.333066506544,0.5766397356626791,1156310.7,0.49702558317587137,0.004844961240310086,0.46272261393534625
2025-08-18,102100,103400,102100,102200,539476,-0.014464802314368419,102500.0,102960.0,98598.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,42.600896860986545,651.1391390445933,921.4327476576198,-270.29360861302644,102960.0,108396.87216581081,97523.12783418919,10873.744331621623,0.43010687240549617,1153935.85,0.46750952403463325,-0.014464802314368419,0.46603829789602935
2025-08-19,102500,104000,101900,104000,627551,0.017612524461839474,102980.0,103195.0,98845.0,0.0,0.0,0.0,0.0,0.0,0.0,46.44351464435147,719.176221744885,880.9814424750729,-161.8052207301879,103195.0,108365.55428159761,98024.44571840239,10341.108563195216,0.5778446522517903,1164174.2,0.5390524888801006,0.017612524461839474,0.4686966996326043
2025-08-20,104200,105500,103300,105100,713124,0.01057692307692304,103640.0,103560.0,99145.0,0.0,0.0,0.0,0.0,0.0,0.0,36.94581280788177,852.0351757494354,875.1921891299454,-23.157013380509966,103560.0,108121.80942863222,98998.19057136778,9123.618857264431,0.6687926714270567,1167510.8,0.6108071976721757,0.01057692307692304,0.4645852034450509
2025-08-21,105700,105800,103900,103900,433907,-0.011417697431018059,103780.0,103450.0,99408.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,55.97014925373135,850.6906505307998,870.2918814101163,-19.601230879316518,103450.0,107857.41002833802,99042.58997166198,8814.82005667605,0.5510503898101845,1023268.65,0.4240401579780637,-0.011417697431018059,0.3551559026512062
2025-08-22,104200,105500,104200,104800,553097,0.008662175168431263,104000.0,103440.0,99685.0,0.0,0.0,0.0,0.0,0.0,0.0,65.625,911.7376390286663,878.5810329338264,33.15660609483996,103440.0,107833.48800409255,99046.51199590745,8786.976008185098,0.6547745206921118,949560.45,0.5824768712723871,0.008662175168431263,0.3547831131288539
2025-08-25,105000,105300,103200,104700,440278,-0.000954198473282486,104500.0,103470.0,99946.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,58.71559633027523,941.1990956691152,891.1046454808842,50.09445018823101,103470.0,107890.57390891844,99049.42609108156,8841.14781783687,0.6391222073584644,901806.9,0.48821759957702693,-0.000954198473282486,0.353327679501707
2025-08-26,104300,104600,103000,103000,606440,-0.01623686723973261,104300.0,103345.0,100110.0,0.0,0.0,0.0,0.0,0.0,0.0,57.142857142857146,817.9429822601232,876.472312836732,-58.5293305766088,103345.0,107664.10078360615,99025.89921639385,8638.201567212294,0.46006113109127367,879875.3,0.6892340312314711,-0.01623686723973261,0.35464036159060963
2025-08-27,103100,104000,102900,103500,383772,0.004854368932038833,103980.0,103235.0,100345.0,0.0,0.0,0.0,0.0,0.0,0.0,57.522123893805315,751.9395545777516,851.565761184936,-99.62620660718449,103235.0,107411.26123401504,99058.73876598496,8352.522468030074,0.531726942491236,839259.6,0.45727448336605264,0.004854368932038833,0.3551111026656197
2025-08-28,104500,107200,103300,105700,974330,0.021256038647343045,104340.0,103000.0,100633.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,64.44444444444444,867.1569311277126,854.6839951734913,12.47293595422127,103000.0,105771.28129211019,100228.71870788981,5542.5625842203735,0.9871392896287319,792106.9,1.2300486209626504,0.021256038647343045,0.3240648871885482
